"typeName","type","value"
"CountryCode","enumeratedString","LT"
"CountryCode","enumeratedString","LU"
"CountryCode","enumeratedString","LV"
"CountryCode","enumeratedString","LY"
"CountryCode","enumeratedString","MA"
"CountryCode","enumeratedString","MC"
"CountryCode","enumeratedString","MD"
"CountryCode","enumeratedString","ME"
"CountryCode","enumeratedString","MF"
"CountryCode","enumeratedString","MG"
"CountryCode","enumeratedString","MH"
"CountryCode","enumeratedString","MK"
"CountryCode","enumeratedString","ML"
"CountryCode","enumeratedString","MM"
"CountryCode","enumeratedString","MN"
"CountryCode","enumeratedString","MO"
"CountryCode","enumeratedString","MP"
"CountryCode","enumeratedString","MQ"
"CountryCode","enumeratedString","MR"
"CountryCode","enumeratedString","MS"
"CountryCode","enumeratedString","MT"
"CountryCode","enumeratedString","MU"
"CountryCode","enumeratedString","MV"
"CountryCode","enumeratedString","MW"
"CountryCode","enumeratedString","MX"
"CountryCode","enumeratedString","MY"
"CountryCode","enumeratedString","MZ"
"CountryCode","enumeratedString","NA"
"CountryCode","enumeratedString","NC"
"CountryCode","enumeratedString","NE"
"CountryCode","enumeratedString","NF"
"CountryCode","enumeratedString","NG"
"CountryCode","enumeratedString","NI"
"CountryCode","enumeratedString","NL"
"CountryCode","enumeratedString","NO"
"CountryCode","enumeratedString","NP"
"CountryCode","enumeratedString","NR"
"CountryCode","enumeratedString","NU"
"CountryCode","enumeratedString","NZ"
"CountryCode","enumeratedString","OM"
"CountryCode","enumeratedString","PA"
"CountryCode","enumeratedString","PE"
"CountryCode","enumeratedString","PF"
"CountryCode","enumeratedString","PG"
"CountryCode","enumeratedString","PH"
"CountryCode","enumeratedString","PK"
"CountryCode","enumeratedString","PL"
"CountryCode","enumeratedString","PM"
"CountryCode","enumeratedString","PN"
"CountryCode","enumeratedString","PR"
"CountryCode","enumeratedString","PS"
"CountryCode","enumeratedString","PT"
"CountryCode","enumeratedString","PW"
"CountryCode","enumeratedString","PY"
"CountryCode","enumeratedString","QA"
"CountryCode","enumeratedString","RE"
"CountryCode","enumeratedString","RO"
"CountryCode","enumeratedString","RS"
"CountryCode","enumeratedString","RU"
"CountryCode","enumeratedString","RW"
"CountryCode","enumeratedString","SA"
"CountryCode","enumeratedString","SB"
"CountryCode","enumeratedString","SC"
"CountryCode","enumeratedString","SD"
"CountryCode","enumeratedString","SE"
"CountryCode","enumeratedString","SG"
"CountryCode","enumeratedString","SH"
"CountryCode","enumeratedString","SI"
"CountryCode","enumeratedString","SJ"
"CountryCode","enumeratedString","SK"
"CountryCode","enumeratedString","SL"
"CountryCode","enumeratedString","SM"
"CountryCode","enumeratedString","SN"
"CountryCode","enumeratedString","SO"
"CountryCode","enumeratedString","SR"
"CountryCode","enumeratedString","SS"
"CountryCode","enumeratedString","ST"
"CountryCode","enumeratedString","SV"
"CountryCode","enumeratedString","SX"
"CountryCode","enumeratedString","SY"
"CountryCode","enumeratedString","SZ"
"CountryCode","enumeratedString","TC"
"CountryCode","enumeratedString","TD"
"CountryCode","enumeratedString","TF"
"CountryCode","enumeratedString","TG"
"CountryCode","enumeratedString","TH"
"CountryCode","enumeratedString","TJ"
